conv_date,revenue
2017-03-01,32614.100440000002
2017-03-02,16387.22952
2017-03-03,40806.47256
2017-03-04,27539.2884
2017-03-05,31716.45992
2017-03-06,32334.88072
2017-03-07,26809.0508
2017-03-08,36281.28064
2017-03-09,26987.2866
2017-03-10,21924.73152
2017-03-11,20821.6948
2017-03-12,32239.0516
2017-03-13,34728.72656
2017-03-14,31414.7478
2017-03-15,25601.74172
2017-03-16,19289.87008
2017-03-17,22408.43412
2017-03-18,21242.39444
2017-03-19,29473.6894
2017-03-20,29658.13964
2017-03-21,32097.98092
2017-03-22,41127.78052
2017-03-23,25045.24868
2017-03-24,22778.9798
2017-03-25,30532.14672
2017-03-26,36762.09492
2017-03-27,36991.97352
2017-03-28,31429.99804
2017-03-29,44278.59688
2017-03-30,26867.22204
2017-03-31,70149.00796
2017-04-01,308243.73544
2017-04-02,202178.48052
2017-04-03,161074.11888
2017-04-04,142665.509
2017-04-05,134312.80652
2017-04-06,130310.96264
2017-04-07,203753.49108
2017-04-08,292663.08988
2017-04-09,23690.81596
2017-04-10,29561.43316
2017-04-11,23493.34896
2017-04-12,32729.69512
2017-04-13,23434.957
2017-04-14,20396.852039999998
2017-04-15,13779.523720000001
2017-04-16,15330.995
2017-04-17,39509.4602
2017-04-18,43688.706
2017-04-19,9451.89752
2017-04-20,13817.12704
2017-04-21,11470.95388
2017-04-22,13851.396
2017-04-23,15930.887999999999
2017-04-24,14235.852
2017-04-25,16213.496
2017-04-26,16742.004
2017-04-27,23275.472
2017-04-28,29144.792
2017-04-29,22536.948
2017-04-30,25299.352
2017-05-01,54554.81456
2017-05-02,31610.36
2017-05-03,34795.0538
2017-05-04,34202.14524
2017-05-05,19044.172
2017-05-06,21561.88
2017-05-07,40307.0316
2017-05-08,53930.81148
2017-05-09,25402.132
2017-05-10,18461.128
2017-05-11,22129.328
2017-05-12,16784.548
2017-05-15,17593.192
2017-05-16,17398.076
2017-05-17,15497.42
2017-05-18,16494.752
2017-05-19,14659.088
2017-05-20,16092.76
2017-05-21,24935.612
2017-05-22,23031.836
2017-05-23,27182.464
2017-05-24,19674.212
2017-05-25,22113.952
2017-05-26,29093.352
2017-05-27,18895.58
2017-05-28,36217.42
2017-05-29,45937.144
2017-05-30,25187.904
2017-05-31,24202.332
2017-06-01,27378.992
2017-06-02,22411.632
2017-06-03,19027.816
2017-06-04,24866.964
2017-06-05,34840.476
2017-06-06,31985.328
2017-06-07,28835.536
2017-06-08,19016.972
2017-06-09,30377.432
2017-06-10,24705.056
2017-06-11,43235.824
2017-06-12,27820.96
2017-06-13,28092.392
2017-06-14,40719.932
2017-06-15,41005.532
2017-06-16,36603.368
2017-06-17,24720.968
2017-06-18,35463.456
2017-06-19,26459.744
2017-06-20,34251.6
2017-06-21,27325.776
2017-06-22,22929.844
2017-06-23,40559.784
2017-06-24,26269.416
2017-06-25,79230.324
2017-06-26,32166.148
2017-06-27,25784.64
2017-06-28,28137.86
2017-06-29,44056.044
2017-06-30,35516.648
2017-07-01,23815.236
2017-07-02,38887.2
2017-07-03,30227.408
2017-07-04,27633.708
2017-07-05,21820.2
2017-07-06,24483.304
2017-07-07,22909.436
2017-07-08,17958.632
2017-07-09,26089.796000000002
2017-07-10,45294.856
2017-07-11,40716.32
2017-07-12,45534.676
2017-07-13,33967.964
2017-07-14,22457.816
2017-07-15,20248.048
2017-07-16,27599.576
2017-07-17,32508.284
2017-07-18,25904.168
2017-07-19,23981.568
2017-07-20,25089.652000000002
2017-07-21,21241.68
2017-07-22,18751.036
2017-07-23,38894.016
2017-07-24,28572.308
2017-07-25,21018.052
2017-07-26,25893.18
2017-07-27,23909.94
2017-07-28,55493.636
2017-07-29,43034.968
2017-07-30,63357.716
2017-07-31,108710.38
2017-08-01,24009.632
2017-08-02,24478.104
2017-08-03,19278.388
2017-08-04,17020.036
2017-08-05,17361.156
2017-08-06,23195.288
2017-08-07,25228.752
2017-08-08,23129.344
2017-08-09,23778.592
2017-08-10,19354.168
2017-08-11,24575.028
2017-08-12,20578.236
2017-08-13,32078.312
2017-08-14,16469.792
2017-08-15,21639.008
2017-08-16,22724.836
2017-08-17,57556.472
2017-08-18,18328.996
2017-08-19,17394.356
2017-08-20,22969.54
2017-08-21,26562.82
2017-08-22,23388.716
2017-08-23,23718.576
2017-08-24,22951.404
2017-08-25,27803.816
2017-08-26,22766.06
2017-08-27,32437.132
2017-08-28,42961.544
2017-08-29,23330.9
2017-08-30,24826.488
2017-08-31,32235.48
2017-09-01,29732.628
2017-09-02,22332.264
2017-09-03,29350.668
2017-09-04,26528.6
2017-09-05,33020.688
2017-09-06,30515.86
2017-09-07,21994.204
2017-09-08,22056.584
2017-09-09,22563.976
2017-09-10,31286.12
2017-09-11,26979.872
2017-09-12,27508.596
2017-09-13,23771.148
2017-09-14,33008.616
2017-09-15,28672.248
2017-09-16,31240.696
2017-09-17,33393.968
2017-09-18,33450.716
2017-09-19,35587.616
2017-09-20,45384.88
2017-09-21,35106.552
2017-09-22,43134.168
2017-09-23,37866.116
2017-09-24,52756.62
2017-09-25,54208.356
2017-09-26,40109.448
2017-09-27,48758.608
2017-09-28,58861.476
2017-09-29,165089.192
2017-09-30,106168.688
2017-10-01,87728.884
2017-10-02,68428.904
2017-10-03,84871.428
2017-10-04,66250.5
2017-10-05,78955.12
2017-10-06,96202.296
2017-10-07,161779.724
2017-10-08,18407.728
2017-10-09,26176.28
2017-10-10,13991.548
2017-10-11,14939.056
2017-10-12,13779.544
2017-10-13,15176.992
2017-10-14,20011.28
2017-10-15,22974.596
2017-10-16,22149.04
2017-10-17,17479.536
2017-10-18,17849.316
2017-10-19,34809.124
2017-10-20,25948.212
2017-10-21,19223.2
2017-10-22,38464.94
2017-10-23,45548.496
2017-10-24,24683.808
2017-10-25,19607.844
2017-10-26,14624.484
2017-10-27,42328.508
2017-10-28,26022.284
2017-10-29,36315.944
2017-10-30,28205.164
2017-10-31,68184.968
2017-11-01,28170.168
2017-11-02,19432.528
2017-11-03,26998.86
2017-11-04,21587.812
2017-11-05,45155.816
2017-11-06,22362.54
2017-11-07,19946.88
2017-11-08,23622.968
2017-11-09,19722.816
2017-11-10,24244.736
2017-11-11,28506.408
2017-11-12,29896.212
2017-11-13,26423.12
2017-11-14,23493.104
2017-11-15,28227.311999999998
2017-11-16,20737.724
2017-11-17,20798.552
2017-11-18,15835.864
2017-11-19,27825.488
2017-11-20,117126.53199999999
2017-11-21,84054.984
2017-11-22,76136.4
2017-11-23,78855.672
2017-11-24,207471.004
2017-11-25,79181.732
2017-11-26,136362.272
2017-11-27,118176.084
2017-11-28,14316.78
2017-11-29,16743.684
2017-11-30,15935.583999999999
2017-12-01,20588.420000000002
2017-12-02,16134.804
2017-12-03,35058.728
2017-12-04,21229.876
2017-12-05,18575.052
2017-12-06,19692.844
2017-12-07,21299.596
2017-12-08,50445.624
2017-12-09,24801.8
2017-12-10,86744.84
2017-12-11,26763.58
2017-12-12,22095.392
2017-12-13,21699.232
2017-12-14,28395.032
2017-12-15,23566.768
2017-12-16,20830.18
2017-12-17,26423.128
2017-12-18,27502.604
2017-12-19,50341.192
2017-12-20,16274.155999999999
2017-12-21,23925.94
2017-12-22,11939.448
2017-12-23,14030.047999999999
2017-12-24,30164.548
2017-12-25,9520.144
2017-12-26,27821.208
2017-12-27,45823.888
2017-12-28,47756.364
2017-12-29,32782.024
2017-12-30,31975.284
2017-12-31,22100.912
2018-01-01,38238.148
2018-01-02,39758.024
2018-01-03,36486.808
2018-01-04,34113.448
2018-01-05,43749.04
2018-01-06,31782.644
2018-01-07,40529.988
2018-01-08,31538.024
2018-01-09,31024.508
2018-01-10,30045.772
2018-01-11,29238.236
2018-01-12,29911.12
2018-01-13,31049.764
2018-01-14,41383.584
2018-01-15,56090.94
2018-01-16,65233.436
2018-01-17,22142.924
2018-01-18,25081.008
2018-01-19,21052.532
2018-01-20,17708.044
2018-01-21,24388.124
2018-01-22,24637.716
2018-01-23,21089.944
2018-01-24,19018.728
2018-01-25,16957.136
2018-01-26,46946.716
2018-01-27,28176.02
2018-01-28,49101.068
2018-01-29,72233.928
2018-01-30,22938.856
2018-01-31,24185.08
2018-02-01,23395.756
2018-02-02,23407.32
2018-02-03,24506.232
2018-02-04,35787.816
2018-02-05,35647.592
2018-02-06,29429.456000000002
2018-02-07,22410.428
2018-02-08,34352.664
2018-02-09,24157.916
2018-02-10,25566.168
2018-02-11,36449.768000000004
2018-02-12,31679.096
2018-02-13,33927.04
2018-02-14,33594.0
2018-02-15,62783.752
2018-02-16,44531.556
2018-02-17,36150.024
2018-02-18,51455.496
2018-02-19,46266.396
2018-02-20,44148.732
2018-02-21,37306.496
2018-02-22,40053.732
2018-02-23,41461.036
2018-02-24,38378.623999999996
2018-02-25,45797.276
2018-02-26,81254.044
2018-02-27,47799.996
2018-02-28,42846.608
2018-03-01,32033.192
2018-03-02,24719.8
2018-03-03,23818.016
2018-03-04,41780.848
2018-03-05,33413.112
2018-03-06,29955.516
2018-03-07,25215.704
2018-03-08,272935.832
2018-03-09,81100.468
2018-03-10,15747.384
2018-03-11,24267.108
2018-03-12,24442.528
2018-03-13,19263.464
2018-03-14,24061.856
2018-03-15,30696.408
2018-03-16,27709.896
2018-03-17,22798.84
2018-03-18,26681.944
2018-03-19,28270.624
2018-03-20,31128.028
2018-03-21,28940.864
2018-03-22,23388.62
2018-03-23,30806.068
2018-03-24,26220.972
2018-03-25,30654.256
2018-03-26,33050.231999999996
